key,en,my
Open visit,Open visit,လည်ပတ်မှတ်တမ်းကို ဖွင့်ပါ
No diagnoses recorded.,No diagnoses recorded.,ရောဂါခွဲခြားချက် မမှတ်တမ်းတင်ရသေးပါ။
No medications documented.,No medications documented.,ဆေးဝါးမှတ်တမ်း မရှိပါ။
No lab highlights for this visit.,No lab highlights for this visit.,ဤလည်ပတ်မှုတွင် အထင်ရှား လက်တင်မရှိပါ။
No recent clinician notes.,No recent clinician notes.,သူနာပြုမှတ်စု အသစ် မရှိပါ။
Loading patient details...,Loading patient details...,လူနာ အသေးစိတ်ကို တင်နေပါသည်...
Patient details unavailable.,Patient details unavailable.,လူနာအသေးစိတ် မရရှိနိုင်ပါ။
No visits recorded yet.,No visits recorded yet.,လည်ပတ်မှတ်တမ်း မရှိသေးပါ။
Add the first visit,Add the first visit,ပထမဆုံး လည်ပတ်မှုကို ထည့်သွင်းပါ
Not provided,Not provided,မပေးထားပါ
